1	A Abdelali	Qatar Computing Research Institute, HBKU
2	A Abdellah	Professeur, Traitement Intelligent de l’Information’ FST Mohammedia
3	A Abubakar	International Islamic University Malaysia
4	A Adib	Professeur, Traitement Intelligent de l’Information’ FST Mohammedia
5	AA Elsayed	Assistant Professor of Computer Science, Faculty of Science, Alexandria University
6	A Ahmed	Weill Cornell Medicine
7	A Alhazmi	Umm Al. Qura University
8	A Alrajeh	KACST
9	A Alvarez	Senior Researcher in Speech Technologies, Vicomtech
10	A Amarnath	IBM Research
11	AAM Elhag	Assistant Professor
12	A Anastasopoulos	Assistant Professor, George Mason University
13	A Araabi	PhD candidate, University of Amsterdam
14	A Arkhangorodsky	DiDi Labs
15	A Armaly	University of Notre Dame
16	A Asai	University of Washington
17	A Awasthi	Indian Institute of Technology Bombay
18	A Baevski	Facebook AI Research
19	A Bansal	University of Notre Dame
20	A Bapna	Software Engineer, Google Brain
21	A Bardet	Head of Research at Atlantique Traduction (Phd in Neural Machine Translation)
22	A Berard	Naver Labs Europe
23	A Bérard	Naver Labs Europe
24	A Berro	LIRIS - Université Claude Bernard Lyon 1
25	A Birch	University of Edinburgh
26	A Bisazza	Assistant Professor, University of Groningen
27	AB NIKULÁSDÓTTIR	Developer, Grammatek ehf.
28	A Branco	University of Lisbon, Faculty of Sciences, Department of Informatics
29	A Budiman	Assistant Professor of Computer Science at Universitas Teknokrat Indonesia
30	A Burchardt	DFKI GmbH, Language Technology Lab
31	A Caines	University of Cambridge
32	A Chernodub	Applied Research Scientist at Grammarly
33	AC Kocabiyikoglu	Calystene
34	AC Le	Ton Duc Thang University, Ho Chi Minh City, Vietnam
35	A Conneau	FAIR / Meta AI
36	A Currey	Amazon Web Services
37	A Daza	Vrije Universiteit Amsterdam
38	AD de Ilarraza	University of the Basque Country
39	A de Gispert	Principal Scientist (Amazon)
40	AD McCarthy	Johns Hopkins University
41	AD Vo	Natural Language Processing, University of Ulsan
42	A Einolghozati	FB
43	A Ekbal	Department of Computer Science and Engineering, IIT Patna, India
44	A Elgohary	Microsoft
45	A El-Kishky	Twitter Cortex
46	A Erdem	Professor of Computer Science, Koç University, Istanbul, Turkey
47	A Eriguchi	Researcher at Microsoft
48	AF Aji	Amazon
49	A Fan	Facebook AI Research, LORIA
50	A Farhadi	Professor, Computer Science and Engineering, University of Washington
51	A Finch	NICT
52	A Fraisse	PhD. Computer Science
53	A Frank	Professor of Computational Linguistics, Heidelberg University
54	A Fraser	Center for Information and Language Processing, University of Munich (LMU)
55	AFT Martins	Carnegie Mellon University and Instituto Superior Tecnico
56	A Fujita	Senior Researcher, National Institute of Information and Communications Technology (NICT), Japan
57	A Garcia	expert.ai
58	A Garg	UC Davis, IIT Delhi
59	A Góis	PhD student — Mila / University of Montreal
60	A Grissom II	Haverford College
61	A Guessoum	Professor of Computer science, University of Science and Technology Houari Boumediene, Algiers
62	A Habib	Professeur habilité, informatique, Université Hassan II de Casablanca
63	A Han	腾讯（北京）
64	A Idrissi-Yaghir	Unknown affiliation
65	A Ittoo	Univ of Liège
66	A Jatowt	Kyoto University -> University of Innsbruck
67	A Jones	Student, Dartmouth College
68	AJ Yepes	School of Computing Technologies, RMIT University
69	A Karakanta	Fondazione Bruno Kessler (FBK) / University of Trento
70	A Katinskaia	University of Helsinki
71	A Katz	Assistant Professor, Virginia Tech
72	AKN Ho	Laboratoire Interdisciplinaire des Sciences du Numérique
73	AK Ojha	University of Galway
74	A Krüger	Saarland University, DFKI, Saarland Informatics Campus
75	A Kumar	Optum Global Services India Pvt Ltd
76	A Kunchukuttan	Microsoft Translator
77	A Kyrillidis	Assistant Professor, Computer Science Department, Rice University
78	A LeClair	The University of Notre Dame
79	A Lertpiya	Research Engineer, Kasikorn Labs Co. Ltd, KBTG
80	AL Jakobsen	Professor of translation & translation technology, CBS
81	AL Korhonen	Professor, Computer Science and Linguistics, University of Cambridge
82	A Lopes	Universidad de La Serena
83	A Martins	Carnegie Mellon University and Instituto Superior Tecnico
84	A Mazroui	Professor, Faculty of Sciences – Mohammed First University (Oujda Morocco)
85	A Mazzei	Researcher, University of Turin
86	AM Cretu	Imperial College London
87	A Menezes	Microsoft Research
88	A Meyers	Associate Clinical Professor, New York University
89	AM Gezmu	PhD candidate, Otto-von-Guericke-Universität Magdeburg & Hawassa University
90	A Mishra	ML Scientist, Apple Inc.
91	A Miura	Atid Ltd., Japan
92	A Montejo-Ráez	Associate Professor, Universidad de Jaén
93	A Moschitti	Principal Scientist at Amazon Alexa
94	A Mosquera	Broadcom
95	A Moudgil	Mila, Concordia University
96	AM Rush	Associate Professor, Cornell University
97	A Nagesh	Staff Research Scientist, DiDi AI Labs
98	A Névéol	CNRS
99	A Nowakowski	Adam Mickiewicz University
100	AN Rafferty	Assistant Professor, Carleton College
101	A Nürnberger	Professor of Data and Knowledge Engineering, Otto-von-Guericke-Universität Magdeburg
102	A Oboturov	Unknown affiliation
103	AO González	Universitat Oberta de Catalunya
104	A Oliver	Universitat Oberta de Catalunya
105	A Oncevay	University of Edinburgh
106	A Pagano	Universidade Federal de Minas Gerais
107	AP Azad	Senior Research Scientist, IBM Research Lab
108	APB Veyseh	university of Oregon
109	A Peris	ML Engineer at Cushion.ai
110	Á Peris	ML Engineer at Cushion.ai
111	A Poncelas	DCU
112	A Popescu-Belis	Professor at HEIG-VD (HES-SO) - Senior Scientist at EPFL
113	AP Parikh	Staff Research Scientist at Google
114	A Pym	Professor of Translation and Intercultural Studies, Universitat Rovira i Virgili
115	A Rafea	American University in Cairo
116	A Raganato	University of Milano-Bicocca
117	AR Ali	Machine Learning Scientist
118	A Ramesh	MS in Computing ( Research area - Machine Translation)
119	A Ravichander	Carnegie Mellon University
120	AR Elmadany	The University of British Columbia
121	A Rios	Postdoc, University of Zurich
122	AR Khan	Stevens Institute of Technology
123	A Rouhe	PhD Student, Aalto University
124	A Rozovskaya	Assistant Professor, Queens College, CUNY
125	A Rücklé	Amazon
126	A Runge	Duolingo
127	A Salimbajevs	Researcher, Latvian University and Tilde
128	A Schmaltz	Harvard University
129	A Sengupta	Indraprastha Institute of Information Technology
130	A Severyn	Google
131	A Shankhdhar	Undergraduate Student, IIT Guwahati
132	A Sharma	Amazon
133	A Siddhant	Google
134	A Sinitsin	Yandex
135	A Slobodkin	PhD student @Bar Ilan University
136	A Sokolov	Research Scientist, Google & Heidelberg University
137	A Solyman	Doctor of Engineering
138	AS Rotaru	Data Scientist - Arthur D. Little
139	A Sucipto	Universitas Islam Nahdlatul Ulama (UNISNU) Jepara
140	A Suri	PhD Candidate, University of Virginia
141	A Tabassum	Oak Ridge National Laboratory, Virginia Tech
142	A Talman	Doctoral Researcher, University of Helsinki
143	A Tamchyna	Memsource
144	A Tavast	Institute of the Estonian Language
145	AT Aw	Aw Ai Ti
146	A Tawfik	Microsoft
147	A Tebbifakhr	Unknown affiliation
148	A Tezcan	Senior Researcher, LT3, Ghent University
149	A Toral	Assistant Professor, University of Groningen
150	A Trewartha	Postdoctoral Researcher, Lawrence Berkeley National Laboratory
151	A Vasiļjevs	Tilde
152	A Verma	Professor, Oncology, Albert Einstein College of Medicine, Montefiore Medical Center
153	AV Hujon	St. Anthony's College, Shillong
154	AV Lopes	Unbabel/INESC-ID
155	AVM Barone	the University of Edinburgh
156	AV Miceli Barone	the University of Edinburgh
157	AV Miceli-Barone	the University of Edinburgh
158	A Wahid	Maulana Azad National Urdu University (A Central University), Hyderabad
159	A Waibel	Carnegie Mellon, KIT, Karlsruhe Institute of Technology, University of Karlsruhe
160	A Wang	PhD student at New York University
161	A Way	ADAPT Centre, Dublin City University
162	A Williams	Research Scientist, Fundamental Artificial Intelligence Research (Meta Platforms Inc.)
163	A Yamada	Creighton University
164	AY Ng	Stanford University
165	A Yuan	Stanford University
166	A Zaninello	University of Bolzano / Fondazione Bruno Kessler
167	B Alhafni	New York University
168	B Alshemali	Taibah University, University of Colorado Colorado Springs
169	B Athiwaratkun	Amazon AI Scientist
170	B Benatallah	DCU, Dublin
171	B Byrne	Professor in Information Engineering, Cambridge University
172	BC Figueras	Barcelona Supercomputing Center
173	B Chen	Alibaba Group
174	B Chen	University of Science and Technology of China
175	B Citamak	Msc. @Hacettepe University
176	B Dillon	Assistant Professor of Linguistics, University of Massachusetts, Amherst
177	B Ding	Nanyang Technological University, Alibaba Group DAMO Academy
178	BE Batsukh	Teacher at Department of Computer Programming, University of the Humanities
179	B Haddow	University of Edinburgh
180	B Hettige	Faculty of Computing, General Sir John Kotelawala Defence University
181	B Hu	Tencent
182	B Huet	Median Technologies
183	B Ji	Tencent
184	B Jung	Department of Computer Science and Engineering, POSTECH
185	B Krojer	MILA - Quebec Artificial Intelligence Institute
186	BLD Bezerra	Universidade de Pernambuco
187	B Li	Professor of National Laboratory of Pattern Recognition, Institute of Automation, Chinese
188	B Li	Alibaba
189	B Li	Northeastern University（China）
190	B Liu	National University of Singapore, previously Stanford University and Baidu Research
191	B Liu	Distinguished Professor, University of Illinois at Chicago
192	B Mak	Professor of Computer Science, the Hong Kong University of Science and Technology
193	B Marie	4i
194	B Martins	Instituto Superior Técnico and INESC-ID, University of Lisbon
195	B Minhas	Student, IIT Guwahati
196	B O'Connor	University of Massachusetts Amherst
197	BR Chakravarthi	Assistant Professor / Lecturer-Above-the-Bar, School of Computer Science, University of Galway
198	B Ren	Nankai University
199	B Thompson	Amazon
200	B Twardowski	Computer Vision Center, UAB
201	B Van Durme	Johns Hopkins University; Microsoft Semantic Machines
202	B Vo	Ho Chi Minh City University of Technology (HUTECH), Ho Chi Minh, Viet Nam
203	B Webber	Professor, School of Informatics, University of Edinburgh
204	B Wu	Meta Reality Labs, UC Berkeley
205	B Yang	Alibaba DAMO Academy
206	BY Lin	University of Southern California
207	B Zhang	DiDi Labs
208	B Zhang	University of Edinburgh
